City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
223,Hofn,IS,2022-05-14 22:18:46,64.2539,-15.2082,39.76,93,100,16.53,overcast clouds
224,Novikovo,RU,2022-05-14 22:18:47,51.1537,37.8879,49.41,91,100,8.21,overcast clouds
225,Pozega,HR,2022-05-14 22:18:48,45.3403,17.6853,60.76,67,44,2.04,scattered clouds
226,Hervey Bay,AU,2022-05-14 22:18:49,-25.2986,152.8535,72.01,98,19,4.0,few clouds
227,Gallup,US,2022-05-14 22:18:51,35.5281,-108.7426,84.96,6,0,17.27,clear sky
228,Voyvozh,RU,2022-05-14 22:18:52,62.892,54.9635,46.33,95,100,1.41,light rain
229,Kyren,RU,2022-05-14 22:09:27,51.6828,102.1408,48.02,38,37,2.48,scattered clouds
230,Doha,QA,2022-05-14 22:18:53,25.2867,51.5333,85.98,28,0,16.11,clear sky
231,Eganville,CA,2022-05-14 22:18:54,45.5334,-77.0994,81.52,54,51,7.61,broken clouds
232,Salekhard,RU,2022-05-14 22:18:54,66.53,66.6019,37.74,99,100,13.11,overcast clouds
233,Alekseyevka,RU,2022-05-14 22:18:27,50.6309,38.6903,52.38,96,100,8.43,light rain
234,Longyearbyen,SJ,2022-05-14 22:18:57,78.2186,15.6401,28.24,74,75,5.75,broken clouds
235,Yugorsk,RU,2022-05-14 22:18:57,61.3133,63.3319,46.67,85,100,11.5,overcast clouds
236,Balkhash,KZ,2022-05-14 22:18:58,46.844,74.9804,59.72,72,66,8.37,broken clouds
237,Bacolod,PH,2022-05-14 22:18:59,10.6667,122.95,79.0,81,100,3.94,light rain
238,Severo-Kurilsk,RU,2022-05-14 22:19:00,50.6789,156.125,39.15,91,100,28.61,overcast clouds
239,Kemijarvi,FI,2022-05-14 22:19:01,66.7131,27.4306,45.48,74,100,2.55,overcast clouds
240,Waipawa,NZ,2022-05-14 22:19:01,-41.4122,175.5153,54.27,93,100,5.32,moderate rain
241,Sosnovo-Ozerskoye,RU,2022-05-14 22:19:02,52.5249,111.5418,41.43,56,9,2.59,clear sky
242,Asau,RO,2022-05-14 22:11:31,46.4333,26.4,57.96,71,93,2.98,overcast clouds
243,San Quintin,MX,2022-05-14 22:19:03,30.4833,-115.95,74.07,46,10,12.8,clear sky
244,Cine,TR,2022-05-14 22:19:04,37.6117,28.0614,60.01,77,56,1.66,broken clouds
245,Jieshi,CN,2022-05-14 22:19:05,22.8134,115.8257,69.55,92,100,19.57,moderate rain
246,Saryozek,KZ,2022-05-14 22:19:06,44.3583,77.9753,55.87,93,100,10.47,overcast clouds
247,Castlebar,IE,2022-05-14 22:19:07,53.85,-9.3,52.59,85,17,3.98,few clouds
248,Darhan,MN,2022-05-14 22:17:13,49.4867,105.9228,48.74,36,28,6.73,scattered clouds
249,Togur,RU,2022-05-14 22:19:08,58.3631,82.8265,56.57,49,68,5.68,broken clouds
250,Vilcun,CL,2022-05-14 22:19:09,-38.65,-72.2333,52.54,83,2,2.46,clear sky
251,Midland,US,2022-05-14 22:15:20,31.9974,-102.0779,100.69,9,0,6.91,clear sky
252,Avarua,CK,2022-05-14 22:19:10,-21.2078,-159.775,75.25,88,75,5.75,broken clouds
253,Bilibino,RU,2022-05-14 22:19:11,68.0546,166.4372,35.33,100,100,8.99,light snow
254,Tuktoyaktuk,CA,2022-05-14 22:19:12,69.4541,-133.0374,24.8,80,100,9.22,overcast clouds
255,Adamantina,BR,2022-05-14 22:19:13,-21.6853,-51.0725,72.21,55,63,6.53,broken clouds
256,Deputatskiy,RU,2022-05-14 22:19:14,69.3,139.9,16.09,92,100,3.67,light snow
257,Ordynskoye,RU,2022-05-14 22:19:14,54.3656,81.8994,58.93,74,100,4.97,overcast clouds
258,Luderitz,NA,2022-05-14 22:19:15,-26.6481,15.1594,60.64,47,8,10.16,clear sky
